spkid,full_name,name,diameter,albedo,e,a,i,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q
3514547,       (2010 FY80),,0.451,0.118,0.6125,2.694,18.81,1.61E+03,4.42,0.14,54.4,4.30E-08,1.70E-08,1.20E-07
3736204,       (2015 XR128),,0.47,0.183,0.3206,1.65,15.53,774,2.12,0.141,54.7,5.30E-08,5.10E-08,8.00E-08
20241370,241370 (2008 LW8),,0.764,0.224,0.3936,1.676,17.27,792,2.17,0.142,55.4,2.90E-08,2.90E-09,4.90E-08
20394392,394392 (2007 EP88),,0.636,0.174,0.8859,0.8373,20.74,280,0.766,0.142,55.3,1.80E-07,5.80E-09,1.50E-07
3739618,       (2016 AO66),,0.338,0.155,0.5442,2.326,26.65,1.30E+03,3.55,0.142,55.4,1.40E-07,1.50E-07,3.20E-07
20307070,307070 (2002 AV31),,0.282,0.117,0.2492,1.309,14.98,547,1.5,0.143,55.8,2.30E-08,4.00E-09,3.00E-08
20055408, 55408 (2001 TC2),,0.461,0.342,0.2245,1.1,30.39,421,1.15,0.144,56.1,2.90E-09,1.00E-09,2.80E-09
20016834, 16834 (1997 WU22),,1.87,0.22,0.4421,1.468,16,650,1.78,0.145,56.4,5.70E-10,1.50E-10,8.20E-10
20395143,395143 (2010 CN1),,0.636,0.124,0.4391,1.499,20.97,670,1.83,0.145,56.3,5.90E-08,6.70E-09,9.00E-08
20154807,154807 (2004 PP97),,0.469,0.319,0.3166,1.484,15.53,660,1.81,0.146,57,1.10E-09,6.50E-10,1.60E-09
20482054,482054 (2010 AE),,0.413,0.18,0.3769,1.489,15.98,663,1.82,0.147,57.3,4.50E-08,5.40E-09,6.70E-08
20510073,510073 (2010 JF88),,0.451,0.316,0.6581,2.233,17.31,1.22E+03,3.34,0.147,57.3,3.50E-08,1.10E-08,7.90E-08
3759751,       (2016 SG2),,0.278,0.131,0.8805,2.472,24.89,1.42E+03,3.89,0.149,58,2.70E-07,4.90E-08,6.80E-07
20000433,   433 Eros (A898 PA),Eros,16.84,0.25,0.2227,1.458,10.83,643,1.76,0.15,58.5,9.40E-09,1.60E-10,1.40E-08
20002100,  2100 Ra-Shalom (1978 RA),Ra-Shalom,2.3,0.13,0.4365,0.832,15.75,277,0.759,0.15,58.4,1.10E-09,1.50E-10,9.50E-10
20209924,209924 (2005 WS55),,1.861,0.185,0.4532,2.03,23.76,1.06E+03,2.89,0.15,58.3,5.80E-08,1.30E-08,1.10E-07
20499496,499496 (2010 MR87),,0.357,0.22,0.3906,1.734,34.99,834,2.28,0.15,58.5,5.30E-08,1.50E-08,9.50E-08
20162142,162142 (1998 VR),,0.462,0.25,0.3179,0.8753,21.81,299,0.819,0.151,58.9,8.50E-08,8.30E-10,7.40E-08
20374449,374449 (2005 XD1),,0.414,0.179,0.3065,1.62,18.28,753,2.06,0.152,59,8.10E-08,2.70E-08,1.30E-07
20614643,614643 (2010 GH65),,0.493,0.241,0.6104,2.711,21.01,1.63E+03,4.46,0.152,59.2,2.70E-07,3.90E-08,7.30E-07
20326683,326683 (2002 WP),,0.518,0.315,0.2158,1.45,19.15,638,1.75,0.153,59.3,1.40E-09,7.20E-10,1.90E-09
20002608,  2608 Seneca (1978 DA),Seneca,0.9,0.21,0.5651,2.532,14.43,1.47E+03,4.03,0.155,60.3,1.10E-07,2.30E-08,2.70E-07
20365449,365449 (2010 NJ1),,0.215,0.264,0.5406,0.9684,11.22,348,0.953,0.155,60.3,2.00E-07,1.40E-08,2.00E-07
20001865,  1865 Cerberus (1971 UA),Cerberus,1.2,0.22,0.4668,1.08,16.1,410,1.12,0.157,61,2.20E-09,9.90E-10,2.10E-09
20040267, 40267 (1999 GJ4),,1.641,0.214,0.8084,1.339,34.48,566,1.55,0.157,60.9,1.40E-09,7.50E-10,1.90E-09
3727643,       (2015 RS83),,0.474,0.137,0.7657,2.795,11.64,1.71E+03,4.67,0.157,61.1,2.20E-07,7.10E-08,6.40E-07
